city,lat,lng,country,iso2,admin,capital,population,population_proper
Mumbai,18.987807,72.836447,India,IN,Maharashtra,admin,18978000,12691836
Ladakh,34.152588,77.577049,India,IN,Ladakh,admin,18978000,12691836
Ludhiana,30.900965,75.857277,India,IN,Punjab,admin,18978000,12691836
Delhi,28.651952,77.231495,India,IN,Delhi,admin,15926000,7633213
Kolkata,22.562627,88.363044,India,IN,West Bengal,admin,14787000,4631392
Chennai,13.084622,80.248357,India,IN,Tamil Nadu,admin,7163000,4328063
Bengal?ru,12.977063,77.587106,India,IN,Karnataka,admin,6787000,5104047
Hyderabad,17.384052,78.456355,India,IN,Telangana,admin,6376000,3597816
Amravati,16.5666644,80.3666652,India,IN,Andhra Pradesh,admin,6376000,3597816
Ahmad?b?d,23.025793,72.587265,India,IN,Gujarat,minor,5375000,3719710
H?ora,22.576882,88.318566,India,IN,West Bengal,,4841638,1027672
Pune,18.513271,73.849852,India,IN,Maharashtra,,4672000,2935744
S?rat,21.195944,72.830232,India,IN,Gujarat,,3842000,2894504
Mard?npur,26.430066,80.267176,India,IN,Uttar Pradesh,,3162000,2823249
R?mpura,26.884682,75.789336,India,IN,Rajasthan,,2917000,2711758
Lucknow,26.839281,80.923133,India,IN,Uttar Pradesh,admin,2695000,2472011
N?ra,21.203096,79.089284,India,IN,Maharashtra,,2454000,2228018
Patna,25.615379,85.101027,India,IN,Bihar,admin,2158000,1599920
Indore,22.717736,75.85859,India,IN,Madhya Pradesh,,2026000,1837041
Vadodara,22.299405,73.208119,India,IN,Gujarat,,1756000,1409476
Bhopal,23.254688,77.402892,India,IN,Madhya Pradesh,admin,1727000,1599914
Coimbatore,11.005547,76.966122,India,IN,Tamil Nadu ,,1696000,959823
Ludhi?na,30.912042,75.853789,India,IN,Punjab,,1649000,1545368
?gra,27.187935,78.003944,India,IN,Uttar Pradesh,,1592000,1430055
Kaly?n,19.243703,73.135537,India,IN,Maharashtra,,1576614,1576614
Vish?khapatnam,17.704052,83.297663,India,IN,Andhra Pradesh,,1529000,1063178
Kochi,9.947743,76.253802,India,IN,Kerala,,1519000,604696
N?sik,19.999963,73.776887,India,IN,Maharashtra,,1473000,1289497
Meerut,28.980018,77.706356,India,IN,Uttar Pradesh,,1398000,1223184
Far?d?b?d,28.411236,77.313162,India,IN,Haryana,,1394000,1394000
V?r?nasi,25.31774,83.005811,India,IN,Uttar Pradesh,,1352000,1164404
Gh?zi?b?d,28.665353,77.439148,India,IN,Uttar Pradesh,,1341000,1199191
?sansol,23.683333,86.983333,India,IN,West Bengal,,1328000,1328000
Jamshedpur,22.802776,86.185448,India,IN,Jharkhand,,1300000,616338
Madurai,9.917347,78.119622,India,IN,Tamil Nadu ,,1294000,909908
Jabalpur,23.174495,79.935903,India,IN,Madhya Pradesh,,1285000,1030168
R?jkot,22.291606,70.793217,India,IN,Gujarat,,1260000,1099882
Dhanb?d,23.801988,86.443244,India,IN,Jharkhand,,1246000,219636
Amritsar,31.622337,74.875335,India,IN,Punjab,,1212000,1092450
